StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-10-09 14:47:37,1622.05,14653.46,13.35,625,9.03
2013-10-09 23:16:28,1707.06,14113.26,11.51,545,8.27
2013-10-10 00:42:21,829.09,4809.67,9.6,218,5.8
2013-10-14 13:43:43,607.63,4681.64,11.69,329,7.7
2013-10-14 14:47:28,1670.54,14642.31,12.12,599,8.77
2013-10-14 23:21:51,1641.88,14109.39,11.36,562,8.59
2013-10-15 00:37:11,2533.93,13452.32,9.64,436,5.31
2013-10-15 13:38:19,662.94,4807.66,11.1,308,7.25
2013-10-15 14:47:08,1685.62,14645.44,11.7,583,8.69
2013-10-15 23:23:50,1759.6,14140.37,12.76,504,8.04
2013-10-16 00:39:28,853.66,4808.97,9.06,226,5.63
2013-10-16 13:40:28,591.14,4761.27,12.65,193,8.05
2013-10-16 14:47:33,1670.63,14618.71,12.43,594,8.75
2013-10-16 23:15:34,1735.99,14108.07,11.01,536,8.13
2013-10-17 00:40:45,824.15,4812.05,10.0,212,5.84
2013-10-18 13:39:04,626.84,4695.44,11.48,297,7.49
2013-10-18 14:48:15,1652.83,14621.47,12.42,604,8.85
2013-10-18 23:21:40,1658.84,14120.78,13.08,555,8.51
2013-10-19 00:41:22,890.93,4807.5,9.18,224,5.4
2013-10-21 13:41:57,695.13,4779.31,12.56,147,6.88
2013-10-21 14:50:57,1755.75,14614.36,11.16,578,8.32
2013-10-21 22:21:47,1712.86,14131.02,12.07,542,8.25
2013-10-21 23:59:53,829.59,4816.88,9.66,222,5.81
2013-10-22 23:24:45,1626.26,14128.95,12.2,577,8.69
2013-10-23 00:43:14,863.54,4786.55,9.58,214,5.54
2013-10-23 13:38:01,647.0,4788.2,12.3,181,7.4
2013-10-23 14:59:08,1769.79,14653.14,14.74,586,8.28
2013-10-23 23:23:51,1684.65,14111.88,10.73,569,8.38
2013-10-24 00:40:09,840.82,4788.2,9.28,197,5.69
2013-10-25 13:38:07,623.37,4707.49,12.27,162,7.55
2013-10-25 14:47:00,1720.21,14594.13,11.84,573,8.48
2013-10-25 23:21:54,1707.03,14099.88,10.8,560,8.26
2013-10-26 00:39:38,867.5,4820.44,9.25,220,5.56
2013-10-28 13:40:27,602.97,4770.73,12.41,210,7.91
2013-10-28 14:48:32,1753.02,14623.08,12.78,580,8.34
2013-10-28 23:22:11,1801.73,14148.69,11.4,526,7.85
2013-10-29 00:39:31,898.08,4784.83,10.01,200,5.33
2013-10-29 13:39:06,620.83,4645.19,11.88,161,7.48
2013-10-29 14:49:50,1674.67,14619.37,11.94,561,8.73
2013-10-29 23:23:26,1645.84,14101.69,11.28,581,8.57
2013-10-30 00:39:22,836.95,4808.64,9.69,198,5.75
2013-10-30 13:42:56,598.33,4796.19,12.59,347,8.02
2013-10-30 14:50:42,1666.94,14641.89,11.44,595,8.78
2013-10-30 23:22:57,1670.39,14132.46,13.4,562,8.46
2013-10-31 00:40:42,873.18,4847.95,8.89,221,5.55
2013-11-17 23:28:38,4503.72,10724.89,9.48,311,2.38
2013-11-18 14:38:15,618.42,4762.67,12.39,290,7.7
2013-11-18 15:48:49,1655.96,14619.25,12.79,633,8.83
2013-11-19 00:12:32,1640.88,14140.73,11.57,570,8.62
2013-11-19 01:40:04,843.03,4496.64,9.84,264,5.33
2013-11-19 14:37:29,634.45,4769.3,11.98,268,7.52
2013-11-19 15:47:07,1766.68,14633.5,11.19,574,8.28
2013-11-20 00:20:55,1660.8,14113.52,11.92,566,8.5
