,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Hours,average_mph,maximum_mph
2013-06-11 23:18:21,1669.75,14122.15,11.16,575.0,8.46,8.78,27.83,0.46,18.92,8.32
2013-06-12 00:42:37,283.55,1174.38,9.85,145.0,4.14,0.73,4.73,0.08,9.26,7.34
2013-06-17 13:38:01,630.4,4718.13,12.61,175.0,7.48,2.93,10.51,0.18,16.74,9.4
2013-06-17 14:46:35,1622.12,14613.26,13.35,582.0,9.01,9.08,27.04,0.45,20.15,9.95
2013-06-17 23:13:18,1945.3,15356.94,13.38,630.0,7.89,9.54,32.42,0.54,17.66,9.98
2013-06-18 13:40:25,15.09,91.52,9.59,4.0,6.07,0.06,0.25,0.0,13.57,7.15
2013-06-18 13:40:44,603.56,4636.81,11.72,170.0,7.68,2.88,10.06,0.17,17.19,8.74
2013-06-18 14:47:55,1645.76,14660.03,11.61,599.0,8.91,9.11,27.43,0.46,19.93,8.66
2013-06-18 22:19:33,1862.16,14102.65,10.57,480.0,7.57,8.76,31.04,0.52,16.94,7.88
2013-06-19 00:08:20,808.76,4744.08,11.55,317.0,5.87,2.95,13.48,0.22,13.12,8.61
2013-06-19 13:39:53,2142.73,19359.53,13.37,752.0,9.03,12.03,35.71,0.6,20.21,9.97
2013-06-19 22:19:54,1697.02,14104.71,13.61,545.0,8.31,8.76,28.28,0.47,18.59,10.15
2013-06-20 00:02:48,806.36,4753.99,9.63,323.0,5.9,2.95,13.44,0.22,13.19,7.18
2013-07-08 13:40:48,654.11,4772.26,12.7,216.0,7.3,2.97,10.9,0.18,16.32,9.47
2013-07-08 14:49:58,1688.06,14634.68,11.02,583.0,8.67,9.09,28.13,0.47,19.39,8.22
2013-07-08 23:17:22,1734.83,14194.99,10.64,525.0,8.18,8.82,28.91,0.48,18.3,7.93
2013-07-09 00:48:27,809.62,4480.05,9.69,179.0,5.53,2.78,13.49,0.22,12.38,7.23
2013-07-09 13:37:54,639.83,4837.07,11.56,200.0,7.56,3.01,10.66,0.18,16.91,8.62
2013-07-09 14:48:16,1602.34,14654.48,12.89,592.0,9.15,9.11,26.71,0.45,20.46,9.61
2013-07-09 23:17:56,1745.9,14092.11,11.37,499.0,8.07,8.76,29.1,0.48,18.06,8.48
2013-07-10 00:51:51,768.0,4468.96,8.94,194.0,5.82,2.78,12.8,0.21,13.02,6.67
2013-07-15 13:40:41,644.14,4687.27,12.35,228.0,7.28,2.91,10.74,0.18,16.28,9.21
2013-07-15 14:48:59,1707.05,14625.32,12.78,594.0,8.57,9.09,28.45,0.47,19.17,9.53
2013-07-15 23:17:08,1702.52,14114.13,13.43,559.0,8.29,8.77,28.38,0.47,18.54,10.01
2013-07-16 00:38:48,784.69,4508.08,12.34,189.0,5.75,2.8,13.08,0.22,12.85,9.2
2013-07-16 13:41:31,684.95,4748.87,13.81,205.0,6.93,2.95,11.42,0.19,15.51,10.3
2013-07-16 14:48:39,1625.45,14598.04,11.91,619.0,8.98,9.07,27.09,0.45,20.09,8.88
2013-07-16 23:16:48,1754.3,14122.17,11.66,522.0,8.05,8.78,29.24,0.49,18.01,8.69
2013-07-17 00:46:06,756.2,4517.86,9.42,198.0,5.97,2.81,12.6,0.21,13.36,7.02
2013-07-17 13:39:08,692.15,4712.33,12.43,171.0,6.81,2.93,11.54,0.19,15.23,9.27
2013-07-17 14:46:18,1594.59,14642.04,12.97,637.0,9.18,9.1,26.58,0.44,20.54,9.67
2013-07-17 23:15:55,1739.32,14142.04,12.77,583.0,8.13,8.79,28.99,0.48,18.19,9.52
2013-07-18 00:51:29,748.05,4493.7,8.84,201.0,6.01,2.79,12.47,0.21,13.44,6.59
2013-07-19 13:39:24,613.54,4777.0,12.2,237.0,7.79,2.97,10.23,0.17,17.42,9.1
2013-07-19 14:47:10,1603.29,14660.21,16.23,623.0,9.14,9.11,26.72,0.45,20.45,12.1
2013-07-19 23:20:43,1723.13,14119.31,15.43,532.0,8.19,8.77,28.72,0.48,18.33,11.51
2013-07-20 01:12:09,806.42,4813.28,10.05,226.0,5.97,2.99,13.44,0.22,13.35,7.49
2013-07-22 13:44:38,635.54,4691.28,12.23,288.0,7.38,2.92,10.59,0.18,16.51,9.12
2013-07-22 14:46:45,1713.36,14645.76,13.38,595.0,8.55,9.1,28.56,0.48,19.12,9.98
