,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
411,2014-03-18T13:38:03Z,648.37,4707.41,12.15,182.0,7.26
412,2014-03-18T14:47:05Z,1684.88,14631.81,13.14,587.0,8.68
511,2014-03-18T23:20:23Z,1696.57,14152.41,13.62,617.0,8.34
512,2014-03-19T00:39:28Z,863.2,4824.92,9.73,229.0,5.59
151,2014-03-19T13:37:09Z,603.06,4791.75,15.15,272.0,7.95
152,2014-03-19T14:48:34Z,1679.07,14657.47,12.11,612.0,8.73
364,2014-03-19T23:24:47Z,1641.27,14035.98,12.12,534.0,8.55
365,2014-03-20T00:55:34Z,2.61,0.0,1.54,0.0,0.0
261,2014-03-21T13:45:24Z,1665.31,14666.28,12.11,616.0,8.81
403,2014-03-21T23:23:00Z,1675.9,14062.53,11.81,562.0,8.39
404,2014-03-22T00:51:10Z,882.55,4816.44,10.42,250.0,5.46
35,2014-03-24T13:41:05Z,654.65,4730.53,12.05,181.0,7.23
36,2014-03-24T14:47:05Z,1672.04,14659.71,12.35,612.0,8.77
407,2014-03-24T23:21:59Z,1680.37,13711.15,11.71,542.0,8.16
408,2014-03-25T00:43:02Z,815.35,4806.98,9.59,272.0,5.9
207,2014-03-25T13:36:43Z,650.33,4741.25,12.34,161.0,7.29
208,2014-03-25T14:49:57Z,1681.55,14560.95,21.13,594.0,8.66
114,2014-03-25T23:22:07Z,1901.32,14249.78,13.43,492.0,7.49
115,2014-03-26T00:43:13Z,800.12,4818.79,9.66,249.0,6.02
67,2014-03-28T13:39:16Z,629.51,4729.91,12.62,241.0,7.51
68,2014-03-28T14:52:18Z,1770.03,14686.14,11.66,564.0,8.3
233,2014-03-28T23:18:17Z,1628.85,14111.54,11.48,577.0,8.66
234,2014-03-29T00:44:32Z,883.3,4820.74,8.73,251.0,5.46
213,2014-03-31T13:39:48Z,606.18,4726.71,12.42,191.0,7.8
214,2014-03-31T14:46:52Z,1819.53,14647.37,11.45,507.0,8.05
18,2014-03-31T23:20:55Z,1671.99,14291.23,11.74,602.0,8.55
19,2014-04-01T00:44:02Z,867.88,4709.49,10.33,187.0,5.43
184,2014-04-07T13:33:45Z,2300.57,17042.36,14.43,633.0,7.41
96,2014-04-07T23:15:30Z,1735.91,14118.28,12.23,564.0,8.13
97,2014-04-08T00:51:40Z,867.78,4828.62,9.52,214.0,5.56
360,2014-04-08T13:37:25Z,611.73,4713.12,12.79,189.0,7.7
361,2014-04-08T14:52:43Z,1699.38,14590.8,12.38,575.0,8.59
330,2014-04-08T23:55:46Z,1701.98,13769.05,11.74,550.0,8.09
331,2014-04-09T01:25:30Z,851.87,4818.7,9.31,257.0,5.66
282,2014-04-09T13:41:01Z,602.29,4712.32,13.05,181.0,7.82
283,2014-04-09T14:47:12Z,1620.83,14634.64,13.57,563.0,9.03
467,2014-04-09T23:25:47Z,1638.38,13904.4,12.58,569.0,8.49
468,2014-04-10T00:45:06Z,848.75,4812.54,9.74,216.0,5.67
33,2014-04-11T13:40:31Z,564.2,4640.74,12.68,168.0,8.23
34,2014-04-11T14:44:50Z,1729.42,14628.66,12.69,571.0,8.46
142,2014-04-11T23:20:59Z,1718.94,13739.23,11.09,525.0,7.99
143,2014-04-12T00:50:18Z,807.65,4708.25,10.34,220.0,5.83
481,2014-04-14T13:44:14Z,470.46,3520.92,12.35,475.0,7.48
482,2014-04-14T14:46:49Z,1656.95,14620.51,11.78,594.0,8.82
442,2014-04-14T23:22:27Z,1649.26,13803.99,11.29,535.0,8.37
443,2014-04-15T00:42:47Z,797.47,4760.72,9.35,249.0,5.97
425,2014-04-15T13:41:54Z,603.8,4691.65,12.88,282.0,7.77
426,2014-04-15T14:53:00Z,1603.93,14616.18,17.62,594.0,9.11
465,2014-04-15T23:19:52Z,1705.53,13837.09,11.29,556.0,8.11
466,2014-04-16T00:44:54Z,843.43,4830.12,9.97,235.0,5.73
272,2014-04-16T13:39:12Z,616.63,4660.35,13.33,362.0,7.56
273,2014-04-16T14:49:58Z,1690.76,14645.94,14.52,589.0,8.66
521,2014-04-16T23:21:46Z,1696.31,14135.43,11.72,521.0,8.33
522,2014-04-17T01:06:44Z,840.49,4815.14,9.15,229.0,5.73
86,2014-04-18T13:35:59Z,642.46,4806.11,12.88,374.0,7.48
87,2014-04-18T14:45:35Z,1688.22,14648.14,11.62,578.0,8.68
205,2014-04-18T23:21:25Z,1632.18,14119.33,11.88,563.0,8.65
206,2014-04-19T00:43:45Z,790.79,4828.68,10.29,272.0,6.11
399,2014-04-21T13:39:01Z,523.67,3897.18,13.57,138.0,7.44
400,2014-04-21T14:49:51Z,1708.54,14625.14,12.73,537.0,8.56
471,2014-04-21T23:22:09Z,1741.77,14034.26,11.89,516.0,8.06
472,2014-04-22T00:42:14Z,830.06,4849.07,9.41,261.0,5.84
124,2014-04-22T13:39:06Z,615.72,4817.9,12.67,231.0,7.82
125,2014-04-22T14:49:26Z,1683.11,14651.8,12.82,573.0,8.71
71,2014-04-22T23:22:37Z,1763.93,13959.2,10.74,511.0,7.91
72,2014-04-23T00:44:05Z,831.59,4823.8,9.93,261.0,5.8
175,2014-04-25T13:34:11Z,612.65,4775.15,12.56,201.0,7.79
176,2014-04-25T14:44:51Z,1684.58,14625.97,12.57,566.0,8.68
374,2014-04-25T23:18:21Z,1817.82,14118.06,10.92,494.0,7.77
375,2014-04-26T00:42:43Z,851.71,4828.35,9.16,266.0,5.67
395,2014-04-28T13:38:58Z,635.86,4719.05,13.73,192.0,7.42
396,2014-04-28T14:51:19Z,1603.8,14640.25,13.78,589.0,9.13
437,2014-04-28T23:19:40Z,1750.74,14107.66,12.35,537.0,8.06
438,2014-04-29T00:43:23Z,834.02,4800.64,9.66,227.0,5.76
237,2014-04-29T13:35:55Z,606.31,4695.42,12.84,175.0,7.74
238,2014-04-29T14:53:29Z,1514.57,14255.79,14.57,590.0,9.41
90,2014-04-29T23:24:18Z,1637.94,14145.47,12.18,621.0,8.64
91,2014-04-30T00:47:22Z,865.98,4824.99,9.19,225.0,5.57
253,2014-04-30T13:37:36Z,585.09,4658.46,13.13,215.0,7.96
254,2014-04-30T14:48:50Z,1562.96,14648.33,11.62,596.0,9.37
116,2014-04-30T23:20:35Z,1669.07,14155.37,11.27,547.0,8.48
117,2014-05-01T00:45:56Z,836.08,4804.41,9.62,230.0,5.75
243,2014-05-02T13:38:01Z,632.95,4752.75,13.09,245.0,7.51
244,2014-05-02T14:46:50Z,1526.46,14666.18,13.55,592.0,9.61
61,2014-05-02T23:21:00Z,1767.88,14160.42,11.43,541.0,8.01
62,2014-05-03T01:25:57Z,864.32,4802.02,9.28,210.0,5.56
221,2014-05-05T13:39:12Z,604.22,4619.67,13.0,516.0,7.65
222,2014-05-05T14:48:15Z,1615.22,14660.23,12.6,611.0,9.08
140,2014-05-05T23:22:46Z,1739.79,14105.53,15.59,547.0,8.11
141,2014-05-06T00:55:30Z,923.76,4847.36,9.64,189.0,5.25
280,2014-05-06T13:39:00Z,626.38,4984.72,31.89,114.0,7.96
281,2014-05-06T14:49:03Z,1539.17,14678.8,13.77,608.0,9.54
483,2014-05-06T23:23:44Z,1733.98,14137.4,12.53,538.0,8.15
484,2014-05-07T00:42:38Z,894.79,4789.96,8.76,203.0,5.35
493,2014-05-07T13:37:47Z,584.19,4795.41,15.34,208.0,8.21
494,2014-05-07T14:46:49Z,1655.33,14660.03,11.93,610.0,8.86
316,2014-05-07T23:19:14Z,1952.92,14089.46,10.2,490.0,7.21
317,2014-05-08T01:26:35Z,765.4,4404.76,9.7,304.0,5.75
390,2014-05-09T13:39:57Z,591.54,4804.87,18.16,309.0,8.12
257,2014-05-09T23:20:21Z,1793.69,14086.41,13.17,519.0,7.85
258,2014-05-10T00:43:13Z,865.95,4799.06,9.39,205.0,5.54
239,2014-05-12T13:40:58Z,597.24,4783.23,12.35,261.0,8.01
240,2014-05-12T14:49:46Z,1658.14,14645.11,12.34,623.0,8.83
159,2014-05-12T23:21:50Z,1660.34,13898.34,11.95,529.0,8.37
160,2014-05-13T00:41:35Z,856.29,4815.21,9.81,215.0,5.62
499,2014-05-13T13:37:00Z,597.1,4710.68,12.39,252.0,7.89
500,2014-05-13T14:46:39Z,1625.77,14660.41,13.06,601.0,9.02
227,2014-05-13T23:19:49Z,1751.23,14128.81,13.85,486.0,8.07
228,2014-05-14T00:45:33Z,840.75,4787.97,9.73,207.0,5.69
298,2014-05-14T13:37:39Z,575.24,4706.48,13.19,360.0,8.18
299,2014-05-14T14:47:53Z,1554.48,14639.66,12.32,640.0,9.42
378,2014-05-14T23:20:48Z,1734.39,14129.71,12.26,542.0,8.15
379,2014-05-15T00:40:34Z,907.23,4783.18,9.07,216.0,5.27
386,2014-05-16T13:37:27Z,681.84,4760.92,13.72,198.0,6.98
387,2014-05-16T14:47:45Z,1673.67,14626.17,13.99,582.0,8.74
433,2014-05-16T23:18:54Z,1707.26,14114.91,12.41,554.0,8.27
434,2014-05-17T00:42:39Z,926.37,4809.02,9.91,257.0,5.19
120,2014-05-19T13:43:32Z,628.39,4756.11,13.33,152.0,7.57
121,2014-05-19T14:49:01Z,1711.41,14639.03,14.65,573.0,8.55
294,2014-05-19T23:19:06Z,1810.32,14121.15,12.14,538.0,7.8
295,2014-05-20T00:41:13Z,898.82,4814.42,9.36,310.0,5.36
461,2014-05-20T13:37:41Z,566.67,4665.6,13.18,202.0,8.23
462,2014-05-20T14:48:56Z,1636.34,14669.69,13.08,588.0,8.96
132,2014-05-20T23:17:28Z,1737.66,14131.06,11.61,564.0,8.13
133,2014-05-21T00:40:35Z,855.14,4796.3,11.14,311.0,5.61
185,2014-05-21T13:36:56Z,599.63,4730.58,12.08,205.0,7.89
186,2014-05-21T14:47:14Z,1701.04,14652.36,12.55,607.0,8.61
376,2014-05-21T23:19:04Z,1659.23,14136.94,11.28,573.0,8.52
377,2014-05-22T00:41:02Z,903.24,4822.2,9.81,357.0,5.34
215,2014-05-23T13:37:37Z,590.42,4674.55,13.16,176.0,7.92
216,2014-05-23T14:46:06Z,1652.33,14639.54,13.61,558.0,8.86
197,2014-05-23T23:22:10Z,1664.37,14122.66,12.74,572.0,8.49
198,2014-05-24T01:06:12Z,868.63,4827.3,9.53,260.0,5.56
391,2014-05-27T13:34:28Z,613.98,4772.61,12.98,203.0,7.77
392,2014-05-27T14:46:14Z,1644.99,14617.5,13.49,583.0,8.89
138,2014-05-27T23:24:26Z,1689.4,14126.81,11.31,570.0,8.36
139,2014-05-28T00:41:54Z,893.11,4811.04,9.77,315.0,5.39
134,2014-05-28T13:37:28Z,593.17,4731.92,13.74,219.0,7.98
135,2014-05-28T14:50:51Z,1512.14,14645.93,17.75,603.0,9.69
161,2014-05-28T23:16:43Z,1671.41,14116.75,11.11,569.0,8.45
162,2014-05-29T00:41:32Z,903.03,4827.81,9.48,302.0,5.35
251,2014-05-30T13:35:13Z,581.89,4714.2,12.82,232.0,8.1
252,2014-05-30T14:46:02Z,1672.35,14654.24,13.07,565.0,8.76
352,2014-05-30T23:20:04Z,1695.95,14134.22,11.16,569.0,8.33
353,2014-05-31T01:00:23Z,1.93,0.0,2.13,0.0,0.0
419,2014-06-02T13:35:55Z,594.04,4753.7,13.66,247.0,8.0
420,2014-06-02T14:47:24Z,1615.92,14622.91,14.19,597.0,9.05
59,2014-06-02T23:20:55Z,1633.38,13755.88,12.86,664.0,8.42
60,2014-06-03T00:39:40Z,803.86,4782.94,10.83,279.0,5.95
63,2014-06-03T13:37:35Z,568.82,4185.87,12.44,131.0,7.36
64,2014-06-03T14:49:34Z,1632.43,14647.68,13.22,596.0,8.97
448,2014-06-03T23:20:58Z,1762.66,14103.27,11.01,541.0,8.0
449,2014-06-04T00:41:57Z,845.35,4833.24,10.1,246.0,5.72
452,2014-06-04T13:37:28Z,576.42,4759.61,12.82,185.0,8.26
453,2014-06-04T14:46:29Z,1642.33,14645.79,13.98,570.0,8.92
177,2014-06-04T23:20:07Z,1673.03,14111.55,11.51,512.0,8.43
178,2014-06-05T00:39:41Z,857.09,4804.87,9.64,245.0,5.61
46,2014-06-06T13:36:46Z,618.01,4726.15,12.86,170.0,7.65
47,2014-06-06T14:48:03Z,1686.05,14653.88,11.82,589.0,8.69
274,2014-06-06T23:21:34Z,1689.4,14071.86,13.02,552.0,8.33
275,2014-06-07T00:42:34Z,852.26,4839.92,9.62,256.0,5.68
69,2014-06-09T13:38:26Z,641.11,4532.84,12.34,194.0,7.07
70,2014-06-09T14:54:23Z,1662.19,14714.92,12.74,586.0,8.85
427,2014-06-09T23:21:46Z,1654.23,14087.39,12.17,592.0,8.52
428,2014-06-10T00:45:55Z,851.63,4837.46,9.44,375.0,5.68
73,2014-06-10T13:38:59Z,617.94,4709.32,12.31,203.0,7.62
74,2014-06-10T14:45:48Z,1664.7,14660.65,11.27,582.0,8.81
340,2014-06-10T23:18:53Z,1707.15,14123.66,11.96,584.0,8.27
341,2014-06-11T00:40:17Z,821.18,4810.92,10.07,336.0,5.86
126,2014-06-11T13:38:31Z,327.58,2449.1,12.42,101.0,7.48
127,2014-06-11T14:48:39Z,1811.23,14640.95,11.3,539.0,8.08
157,2014-06-11T23:19:39Z,1751.42,14109.9,12.43,485.0,8.06
158,2014-06-12T00:40:13Z,849.09,4817.31,9.47,400.0,5.67
276,2014-06-13T13:37:29Z,580.94,4670.55,12.71,166.0,8.04
277,2014-06-13T14:45:23Z,1619.55,14596.87,11.88,602.0,9.01
495,2014-06-13T23:19:58Z,1688.94,14149.57,16.35,540.0,8.38
496,2014-06-14T00:41:57Z,918.71,4812.62,9.93,421.0,5.24
311,2014-06-16T13:35:51Z,601.05,4744.01,13.84,171.0,7.89
312,2014-06-16T14:45:38Z,1536.65,14598.42,13.48,626.0,9.5
314,2014-06-16T23:17:27Z,1817.53,14088.78,12.26,524.0,7.75
315,2014-06-17T00:41:06Z,844.4,4688.95,9.58,326.0,5.55
77,2014-06-17T13:34:36Z,595.19,4716.73,12.85,198.0,7.92
78,2014-06-17T14:46:34Z,1657.96,14639.61,14.11,596.0,8.83
334,2014-06-17T23:19:36Z,1704.23,14103.4,12.55,531.0,8.28
335,2014-06-18T00:39:07Z,875.59,4843.9,9.69,283.0,5.53
322,2014-06-18T13:38:14Z,629.45,4744.36,11.79,187.0,7.54
323,2014-06-18T14:46:29Z,1557.16,14635.57,12.99,601.0,9.4
366,2014-06-18T23:18:56Z,1711.93,14144.53,12.46,533.0,8.26
367,2014-06-19T00:40:16Z,809.82,4828.78,9.83,245.0,5.96
338,2014-06-20T13:35:55Z,627.53,4828.48,12.67,219.0,7.69
339,2014-06-20T14:51:12Z,1581.56,14641.95,19.72,620.0,9.26
75,2014-06-20T23:24:34Z,1601.17,14127.57,11.33,573.0,8.82
76,2014-06-21T00:40:39Z,837.95,4817.17,10.0,235.0,5.75
489,2014-06-23T13:36:54Z,589.59,4711.69,13.06,188.0,7.99
490,2014-06-23T14:45:55Z,1708.57,14642.35,11.79,604.0,8.57
231,2014-06-23T23:25:32Z,1605.08,14118.12,13.57,579.0,8.8
232,2014-06-24T00:41:51Z,852.92,4796.21,10.32,210.0,5.62
278,2014-06-24T13:34:29Z,612.39,4843.24,12.71,224.0,7.91
279,2014-06-24T14:47:22Z,1634.85,14635.01,13.36,592.0,8.95
20,2014-06-24T23:55:13Z,1658.52,14080.34,14.18,583.0,8.49
21,2014-06-25T01:27:16Z,822.92,4819.53,10.08,243.0,5.86
326,2014-06-26T13:34:25Z,636.81,4805.23,10.83,364.0,7.55
327,2014-06-26T14:53:17Z,1573.07,14684.57,15.74,606.0,9.33
193,2014-06-26T23:21:04Z,1695.46,14053.69,11.31,551.0,8.29
194,2014-06-27T00:40:28Z,898.42,4824.25,9.69,208.0,5.37
