,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
145,2013-09-04T13:51:32Z,1682.43,14629.25,13.92,605.0,8.7
23,2013-09-05T00:19:31Z,1688.86,14109.14,11.86,570.0,8.35
24,2013-09-05T01:51:55Z,762.07,4517.76,9.09,205.0,5.93
170,2013-09-06T13:36:59Z,647.29,4694.02,12.93,169.0,7.25
171,2013-09-06T14:50:47Z,1633.86,14637.45,13.15,602.0,8.96
141,2013-09-06T22:56:23Z,1707.62,14112.97,11.19,538.0,8.26
142,2013-09-07T00:26:45Z,786.56,4488.29,8.76,202.0,5.71
184,2013-09-09T13:39:53Z,662.02,4678.11,12.32,140.0,7.07
185,2013-09-09T14:47:44Z,1603.79,14652.74,14.43,604.0,9.14
46,2013-09-09T23:23:09Z,1732.37,14103.41,10.82,524.0,8.14
47,2013-09-10T00:45:09Z,751.18,4494.92,10.49,224.0,5.98
272,2013-09-10T13:38:24Z,680.04,4760.24,11.61,163.0,7.0
273,2013-09-10T14:46:56Z,1631.4,14629.76,13.48,620.0,8.97
292,2013-09-10T23:21:34Z,1680.51,14116.93,13.98,579.0,8.4
293,2013-09-11T00:49:09Z,839.68,4519.57,9.48,213.0,5.38
234,2013-09-11T13:41:38Z,618.52,4609.99,11.36,149.0,7.45
235,2013-09-11T14:48:07Z,1628.68,14654.58,12.81,623.0,9.0
34,2013-09-11T23:18:21Z,1714.89,14111.32,10.85,560.0,8.23
35,2013-09-12T00:47:02Z,821.28,4495.45,9.4,226.0,5.47
103,2013-09-13T13:38:19Z,608.95,4657.94,12.2,184.0,7.65
104,2013-09-13T14:47:54Z,1638.79,14661.19,19.79,605.0,8.95
369,2013-09-13T23:19:43Z,1690.67,14151.82,13.58,579.0,8.37
370,2013-09-14T00:45:28Z,828.68,4461.33,8.62,238.0,5.38
396,2013-09-16T13:38:49Z,636.06,4707.49,11.58,161.0,7.4
397,2013-09-16T14:51:20Z,1630.07,14625.77,12.94,620.0,8.97
220,2013-09-16T23:01:10Z,1651.35,14120.38,11.59,580.0,8.55
221,2013-09-17T00:23:56Z,836.39,4808.53,9.23,249.0,5.75
97,2013-09-18T13:37:20Z,679.0,4675.43,11.31,152.0,6.89
98,2013-09-18T14:56:26Z,1642.8,14754.96,11.49,647.0,8.98
311,2013-09-18T23:18:13Z,1694.1,14142.77,11.86,543.0,8.35
312,2013-09-19T00:47:46Z,767.21,4521.78,9.49,220.0,5.89
95,2013-09-20T13:39:02Z,654.21,4718.6,12.65,161.0,7.21
96,2013-09-20T14:46:54Z,1585.98,14647.51,17.45,631.0,9.24
129,2013-09-20T23:21:19Z,1711.25,14075.55,12.85,537.0,8.23
130,2013-09-21T00:44:46Z,846.93,4519.66,9.23,219.0,5.34
131,2013-09-23T13:41:30Z,14.87,51.8,6.43,2.0,3.48
132,2013-09-23T13:42:01Z,0.97,2.07,4.03,0.0,2.13
153,2013-09-23T13:42:24Z,623.89,4555.67,11.14,147.0,7.3
154,2013-09-23T14:49:34Z,1660.32,14636.23,14.39,615.0,8.82
106,2013-09-23T22:19:24Z,1764.51,14124.81,11.28,513.0,8.0
107,2013-09-23T23:55:45Z,866.91,4848.47,9.15,293.0,5.59
155,2013-09-25T13:41:13Z,608.46,4738.19,12.89,186.0,7.79
156,2013-09-25T14:51:59Z,1564.84,14636.54,12.95,624.0,9.35
89,2013-09-26T00:19:12Z,4579.43,26674.43,10.77,846.0,5.82
194,2013-10-01T13:38:33Z,687.63,4810.33,11.65,192.0,7.0
195,2013-10-01T14:49:27Z,1667.06,14658.78,13.43,571.0,8.79
326,2013-10-01T23:20:09Z,1684.83,14145.16,12.78,546.0,8.4
327,2013-10-02T00:39:20Z,856.28,4818.45,9.9,216.0,5.63
2,2013-10-02T13:31:43Z,654.85,4659.41,12.07,178.0,7.12
3,2013-10-02T14:46:50Z,1580.51,14650.82,14.25,608.0,9.27
313,2013-10-02T23:19:49Z,1685.62,14159.31,11.62,564.0,8.4
314,2013-10-03T00:39:16Z,848.41,4841.04,10.24,231.0,5.71
136,2013-10-04T13:40:05Z,683.16,4763.54,11.6,203.0,6.97
137,2013-10-04T14:50:15Z,1691.6,14648.29,12.77,598.0,8.66
42,2013-10-04T23:19:35Z,1686.2,14131.16,12.27,578.0,8.38
43,2013-10-05T00:40:22Z,809.98,4836.11,9.61,200.0,5.97
332,2013-10-07T13:38:41Z,647.55,4658.08,11.61,216.0,7.19
333,2013-10-07T14:47:29Z,1630.19,14652.85,12.1,589.0,8.99
246,2013-10-07T23:24:16Z,1664.35,14094.28,12.57,589.0,8.47
247,2013-10-08T00:40:56Z,862.7,4802.4,9.58,217.0,5.57
127,2013-10-08T13:41:31Z,628.34,4708.32,12.68,326.0,7.49
128,2013-10-08T14:50:37Z,1580.68,14656.23,12.01,648.0,9.27
164,2013-10-08T23:20:41Z,1735.94,14129.79,11.05,534.0,8.14
165,2013-10-09T00:39:26Z,807.99,4799.48,10.18,203.0,5.94
251,2013-10-09T13:39:13Z,623.39,4674.94,13.29,347.0,7.5
252,2013-10-09T14:47:37Z,1622.05,14653.46,13.35,625.0,9.03
386,2013-10-09T23:16:28Z,1707.06,14113.26,11.51,545.0,8.27
387,2013-10-10T00:42:21Z,829.09,4809.67,9.6,218.0,5.8
207,2013-10-14T13:43:43Z,607.63,4681.64,11.69,329.0,7.7
208,2013-10-14T14:47:28Z,1670.54,14642.31,12.12,599.0,8.77
400,2013-10-14T23:21:51Z,1641.88,14109.39,11.36,562.0,8.59
401,2013-10-15T00:37:11Z,2533.93,13452.32,9.64,436.0,5.31
85,2013-10-15T13:38:19Z,662.94,4807.66,11.1,308.0,7.25
86,2013-10-15T14:47:08Z,1685.62,14645.44,11.7,583.0,8.69
174,2013-10-15T23:23:50Z,1759.6,14140.37,12.76,504.0,8.04
175,2013-10-16T00:39:28Z,853.66,4808.97,9.06,226.0,5.63
262,2013-10-16T13:40:28Z,591.14,4761.27,12.65,193.0,8.05
263,2013-10-16T14:47:33Z,1670.63,14618.71,12.43,594.0,8.75
256,2013-10-16T23:15:34Z,1735.99,14108.07,11.01,536.0,8.13
257,2013-10-17T00:40:45Z,824.15,4812.05,10.0,212.0,5.84
172,2013-10-18T13:39:04Z,626.84,4695.44,11.48,297.0,7.49
173,2013-10-18T14:48:15Z,1652.83,14621.47,12.42,604.0,8.85
410,2013-10-18T23:21:40Z,1658.84,14120.78,13.08,555.0,8.51
411,2013-10-19T00:41:22Z,890.93,4807.5,9.18,224.0,5.4
147,2013-10-21T13:41:57Z,695.13,4779.31,12.56,147.0,6.88
148,2013-10-21T14:50:57Z,1755.75,14614.36,11.16,578.0,8.32
350,2013-10-21T22:21:47Z,1712.86,14131.02,12.07,542.0,8.25
351,2013-10-21T23:59:53Z,829.59,4816.88,9.66,222.0,5.81
328,2013-10-22T23:24:45Z,1626.26,14128.95,12.2,577.0,8.69
329,2013-10-23T00:43:14Z,863.54,4786.55,9.58,214.0,5.54
67,2013-10-23T13:38:01Z,647.0,4788.2,12.3,181.0,7.4
68,2013-10-23T14:59:08Z,1769.79,14653.14,14.74,586.0,8.28
384,2013-10-23T23:23:51Z,1684.65,14111.88,10.73,569.0,8.38
385,2013-10-24T00:40:09Z,840.82,4788.2,9.28,197.0,5.69
108,2013-10-25T13:38:07Z,623.37,4707.49,12.27,162.0,7.55
109,2013-10-25T14:47:00Z,1720.21,14594.13,11.84,573.0,8.48
117,2013-10-25T23:21:54Z,1707.03,14099.88,10.8,560.0,8.26
118,2013-10-26T00:39:38Z,867.5,4820.44,9.25,220.0,5.56
218,2013-10-28T13:40:27Z,602.97,4770.73,12.41,210.0,7.91
219,2013-10-28T14:48:32Z,1753.02,14623.08,12.78,580.0,8.34
38,2013-10-28T23:22:11Z,1801.73,14148.69,11.4,526.0,7.85
39,2013-10-29T00:39:31Z,898.08,4784.83,10.01,200.0,5.33
62,2013-10-29T13:39:06Z,620.83,4645.19,11.88,161.0,7.48
63,2013-10-29T14:49:50Z,1674.67,14619.37,11.94,561.0,8.73
10,2013-10-29T23:23:26Z,1645.84,14101.69,11.28,581.0,8.57
11,2013-10-30T00:39:22Z,836.95,4808.64,9.69,198.0,5.75
259,2013-10-30T13:42:56Z,598.33,4796.19,12.59,347.0,8.02
260,2013-10-30T14:50:42Z,1666.94,14641.89,11.44,595.0,8.78
54,2013-10-30T23:22:57Z,1670.39,14132.46,13.4,562.0,8.46
55,2013-10-31T00:40:42Z,873.18,4847.95,8.89,221.0,5.55
119,2013-11-17T23:28:38Z,4503.72,10724.89,9.48,311.0,2.38
